target,candidate,window,role,feature,n_oos,rmse,rmse_base,rmse_ratio,mape_%,hit,hit_base,orthogonalised,vs_baseline
beat_vs_guide,dd_abs,d60,candidate,dd_abs_d60,14,0.01276705164955822,0.011874735244577425,1.075144109456105,30.828299316721054,0.5714285714285714,0.0,False,random walk
beat_vs_guide,dd_abs,d60,control,plc_abs_d60,14,0.01883960791333173,0.011874735244577425,1.5865286699284349,37.38581093070047,0.6428571428571429,0.0,False,random walk
beat_vs_guide,dd_abs,full,candidate,dd_abs_full,14,0.013161366588412356,0.011874735244577425,1.1083503183300418,31.92263632797931,0.5714285714285714,0.0,False,random walk
beat_vs_guide,dd_abs,full,control,plc_abs_full,14,0.016435237163464376,0.011874735244577425,1.3840508293411842,34.17308167115379,0.7142857142857143,0.0,False,random walk
rev_yoy,dd_rel_plc,d30,candidate,dd_rel_plc_d30,13,0.03052436386561707,0.019969430552811713,1.5285545466552732,7.479126531371809,0.38461538461538464,0.7692307692307693,True,guidance + auto-window beat
rev_yoy,dd_rel_plc,d30,control,ctrl_rel_plc_d30,13,0.048743259714818715,0.019969430552811713,2.4408938244839247,15.735129353280866,0.6153846153846154,0.7692307692307693,True,guidance + auto-window beat
rev_yoy,dd_rel_plc,d45,candidate,dd_rel_plc_d45,13,0.030745720786328517,0.019969430552811713,1.5396393354841804,7.5724986042908,0.3076923076923077,0.7692307692307693,True,guidance + auto-window beat
rev_yoy,dd_rel_plc,d45,control,ctrl_rel_plc_d45,13,0.052082799575931524,0.019969430552811713,2.608126427951558,16.6060132157722,0.6153846153846154,0.7692307692307693,True,guidance + auto-window beat
rev_yoy,dd_rel_plc,d60,candidate,dd_rel_plc_d60,13,0.03105042356651627,0.019969430552811713,1.5548977966296762,7.788384428555382,0.3076923076923077,0.7692307692307693,True,guidance + auto-window beat
rev_yoy,dd_rel_plc,d60,control,ctrl_rel_plc_d60,13,0.05253187710086875,0.019969430552811713,2.630614676865296,16.447966716040366,0.6153846153846154,0.7692307692307693,True,guidance + auto-window beat
rev_yoy,dd_rel_plc,full,candidate,dd_rel_plc_full,13,0.03102676313040214,0.019969430552811713,1.5537129638398,8.186780874415541,0.3076923076923077,0.7692307692307693,True,guidance + auto-window beat
rev_yoy,dd_rel_plc,full,control,ctrl_rel_plc_full,13,0.05686436755844738,0.019969430552811713,2.847570811198761,17.179036859650775,0.6153846153846154,0.7692307692307693,True,guidance + auto-window beat
rev_yoy,dd_rel,d30,candidate,dd_rel_d30,13,0.041342753270459345,0.019969430552811713,2.070302063001904,13.111466544112108,0.46153846153846156,0.7692307692307693,True,guidance + auto-window beat
rev_yoy,dd_rel,d30,control,plc_rel_d30,13,0.048743259714818715,0.019969430552811713,2.4408938244839247,15.735129353280866,0.6153846153846154,0.7692307692307693,True,guidance + auto-window beat
rev_yoy,dd_rel,d45,candidate,dd_rel_d45,13,0.043573443314688515,0.019969430552811713,2.1820073035859973,13.639032759035091,0.46153846153846156,0.7692307692307693,True,guidance + auto-window beat
rev_yoy,dd_rel,d45,control,plc_rel_d45,13,0.052082799575931524,0.019969430552811713,2.608126427951558,16.6060132157722,0.6153846153846154,0.7692307692307693,True,guidance + auto-window beat
rev_yoy,dd_rel,d60,candidate,dd_rel_d60,13,0.04594766949892746,0.019969430552811713,2.3009003375140304,14.70442440146612,0.46153846153846156,0.7692307692307693,True,guidance + auto-window beat
rev_yoy,dd_rel,d60,control,plc_rel_d60,13,0.05253187710086875,0.019969430552811713,2.630614676865296,16.447966716040366,0.6153846153846154,0.7692307692307693,True,guidance + auto-window beat
rev_yoy,dd_rel,full,candidate,dd_rel_full,13,0.05313212984023217,0.019969430552811713,2.660673257543196,16.109702759295292,0.46153846153846156,0.7692307692307693,True,guidance + auto-window beat
