quarter,dd_rel,dd_rel_plc,composite_z,call,beat,trailing_mean_beat,outcome,called,correct,horizon
2024Q1,-0.9383771868954659,-0.34656638911649623,-0.642471788005981,in line,0.03778098471986424,0.04998199528534672,below trend,False,,d45
2024Q2,-1.5280906791006728,-0.5454574362971927,-1.0367740576989326,tracking behind,0.03742604501607727,0.044849492075181185,below trend,True,1.0,d45
2024Q3,-0.5491180890578768,-0.180848659965984,-0.3649833745119304,in line,0.0423202416918429,0.04022285352229668,above trend,False,,d45
2024Q4,1.2503381021269269,2.88996903168736,2.0701535669071434,tracking ahead,0.03759071729957797,0.038069619170670255,below trend,True,0.0,d45
2025Q1,1.7976950976873387,3.345922547411807,2.5718088225495728,tracking ahead,0.030518267929634746,0.03650475637226738,below trend,True,0.0,d45
2025Q2,0.8384932163301161,1.389120592548282,1.113806904439199,tracking ahead,0.047858048162230604,0.03665661251304439,above trend,True,1.0,d45
2025Q3,0.12151533672030095,0.08055200564580274,0.10103367118305184,in line,0.043169611307420475,0.04027386853332321,above trend,False,,d45
2025Q4,-0.35462420111616033,0.025500632508554756,-0.16456178430380278,in line,0.04288183807439827,0.039805825204876966,above trend,False,,d45
2026Q1,1.1411599930607104,-0.05145047734885216,0.5448547578559291,in line,0.05274686192468625,0.03994321927513081,above trend,False,,d45
2026Q2,0.8505694201766183,-0.3330665249907933,0.25875144759291246,in line,0.04321302325581389,0.04181395392573356,above trend,False,,d45
2020Q4,-1.2178303659675653,-1.735213131358098,-1.4765217486628317,tracking behind,0.08914723926380375,0.08442147988903664,above trend,True,0.0,d60
2021Q1,-0.9402754720051341,-1.4011850092968805,-1.1707302406510074,tracking behind,0.06746774193548388,0.08536663176399006,below trend,True,1.0,d60
2021Q2,-0.20931832757430205,-1.102848141802122,-0.6560832346882121,in line,0.10164622641509435,0.08238348345923903,above trend,False,,d60
2021Q3,-0.09304068786116398,-0.8428925569104095,-0.4679666223857868,in line,0.09509311740890691,0.08513530388150407,above trend,False,,d60
2021Q4,0.2871598221645109,-0.23390030443622423,0.026629758864143344,in line,0.12095532646048102,0.08638003057242943,above trend,False,,d60
2022Q1,-0.48873626628505396,-1.2864397341788238,-0.887588000231939,in line,0.07884101040118852,0.08722983853685229,below trend,False,,d60
2022Q2,-0.5569175981896344,-0.3176449510839923,-0.4372812746368133,in line,0.0744391534391533,0.08305106653191613,below trend,False,,d60
2022Q3,-2.872410382374913,-3.712490396304759,-3.292450389339836,tracking behind,0.05954611650485431,0.08771521997106954,below trend,True,1.0,d60
2022Q4,-2.168345399068962,-2.8671242288196943,-2.517734813944328,tracking behind,0.050109619686800944,0.08589199147862076,below trend,True,1.0,d60
2023Q1,-1.0661562219167524,-1.0336588120323749,-1.0499075169745637,tracking behind,0.02930341880341869,0.0810122890314954,below trend,True,1.0,d60
2023Q2,-0.9162631958972273,-0.8830884909772887,-0.899675843437258,in line,0.018920000000000048,0.07624174863998726,below trend,False,,d60
2023Q3,-0.6339655135947536,-0.3534072382476296,-0.4936863759211916,in line,0.046913957934990425,0.06590097033810047,below trend,False,,d60
2023Q4,-0.7550548378653325,-0.5698173002571459,-0.6624360690612392,in line,0.04178268551236752,0.059878575403860906,below trend,False,,d60
2024Q1,-1.0046320154428678,-0.3070074455912307,-0.6558197305170492,in line,0.03778098471986424,0.04998199528534672,below trend,False,,d60
2024Q2,-1.6544764633612572,-0.5301418906365836,-1.0923091769989204,tracking behind,0.03742604501607727,0.044849492075181185,below trend,True,1.0,d60
2024Q3,-0.60102187528051,-0.057004364451950174,-0.32901311986623005,in line,0.0423202416918429,0.04022285352229668,above trend,False,,d60
2024Q4,1.381664895521579,3.0192102824353135,2.2004375889784464,tracking ahead,0.03759071729957797,0.038069619170670255,below trend,True,0.0,d60
2025Q1,1.7874151866804238,3.456761897441359,2.6220885420608915,tracking ahead,0.030518267929634746,0.03650475637226738,below trend,True,0.0,d60
2025Q2,1.0436916035427415,1.3480432013381702,1.1958674024404559,tracking ahead,0.047858048162230604,0.03665661251304439,above trend,True,1.0,d60
2025Q3,0.11813504068430909,0.11904208961791048,0.11858856515110978,in line,0.043169611307420475,0.04027386853332321,above trend,False,,d60
2025Q4,-0.25047939970226923,0.048807302023637596,-0.10083604883931582,in line,0.04288183807439827,0.039805825204876966,above trend,False,,d60
2026Q1,0.9667511957607947,-0.1454882876849799,0.4106314540379074,in line,0.05274686192468625,0.03994321927513081,above trend,False,,d60
2026Q2,0.5703156227263516,-0.48281889934943245,0.04374836168845958,in line,0.04321302325581389,0.04181395392573356,above trend,False,,d60
