quarter,feature,value,available_from,source
2020Q2,plc_rel_d60,-0.2295722557005142,2020-05-31,npm (causal-imputed)
2020Q2,ctrl_abs_full,0.707840630731079,2020-07-01,npm (causal-imputed)
2020Q2,dd_abs_full,1.424496508203319,2020-07-01,npm (causal-imputed)
2020Q2,dd_rel_full,0.71665587747224,2020-07-01,npm (causal-imputed)
2020Q2,dd_rel_wide_full,0.32445447320594134,2020-07-01,npm (causal-imputed)
2020Q2,plc_abs_full,0.4773720611874346,2020-07-01,npm (causal-imputed)
2020Q2,plc_rel_full,-0.23046856954364436,2020-07-01,npm (causal-imputed)
2020Q2,msft_reported,1.0,2020-07-22,MSFT 8-K 0001193125-20-197109
2020Q2,amzn_reported,1.0,2020-07-30,AMZN 8-K 0001018724-20-000019
2020Q2,googl_reported,1.0,2020-07-30,GOOGL 8-K 0001652044-20-000031
2020Q3,rev_musd_lag4,95.864,2019-11-12,"SEC, 2019Q3 print"
2020Q3,rev_yoy_lag4,0.8769628382347183,2019-11-12,"SEC 8-K/10-Q, 2019Q3 print"
2020Q3,rev_yoy_lag2,0.8736331192005711,2020-05-11,"SEC 8-K/10-Q, 2020Q1 print"
2020Q3,ctrl_abs_d30,0.7413052758719356,2020-07-31,npm (causal-imputed)
2020Q3,dd_abs_d30,1.4303793668534688,2020-07-31,npm (causal-imputed)
2020Q3,dd_rel_d30,0.6890740909815332,2020-07-31,npm (causal-imputed)
2020Q3,dd_rel_wide_d30,0.338408275645552,2020-07-31,npm (causal-imputed)
2020Q3,plc_abs_d30,0.5231505619877801,2020-07-31,npm (causal-imputed)
2020Q3,plc_rel_d30,-0.21815471388415553,2020-07-31,npm (causal-imputed)
2020Q3,guide_high_musd,145.0,2020-08-06,8-K EX-99.1 0001564590-20-037808 (UNVERIFIED)
2020Q3,guide_low_musd,143.0,2020-08-06,8-K EX-99.1 0001564590-20-037808 (UNVERIFIED)
2020Q3,guide_mid_musd,144.0,2020-08-06,8-K EX-99.1 0001564590-20-037808 (UNVERIFIED)
2020Q3,rev_yoy_lag1,0.6823916752781716,2020-08-06,"SEC 8-K/10-Q, 2020Q2 print"
2020Q3,ctrl_abs_d45,0.7011535847253718,2020-08-15,npm (causal-imputed)
2020Q3,dd_abs_d45,1.5104059055035801,2020-08-15,npm (causal-imputed)
2020Q3,dd_rel_d45,0.8092523207782083,2020-08-15,npm (causal-imputed)
2020Q3,dd_rel_wide_d45,0.43018746242565165,2020-08-15,npm (causal-imputed)
2020Q3,plc_abs_d45,0.5167716784537824,2020-08-15,npm (causal-imputed)
2020Q3,plc_rel_d45,-0.18438190627158946,2020-08-15,npm (causal-imputed)
2020Q3,ctrl_abs_d60,0.658537347718223,2020-08-30,npm (causal-imputed)
2020Q3,dd_abs_d60,1.5430534533637879,2020-08-30,npm (causal-imputed)
2020Q3,dd_rel_d60,0.8845161056455648,2020-08-30,npm (causal-imputed)
2020Q3,dd_rel_wide_d60,0.4809977872256237,2020-08-30,npm (causal-imputed)
2020Q3,plc_abs_d60,0.503202688593813,2020-08-30,npm (causal-imputed)
2020Q3,plc_rel_d60,-0.15533465912441002,2020-08-30,npm (causal-imputed)
2020Q3,ctrl_abs_full,0.6585240055001478,2020-10-01,npm (causal-imputed)
2020Q3,dd_abs_full,1.5589249949363246,2020-10-01,npm (causal-imputed)
2020Q3,dd_rel_full,0.9004009894361769,2020-10-01,npm (causal-imputed)
2020Q3,dd_rel_wide_full,0.48736827428503027,2020-10-01,npm (causal-imputed)
2020Q3,plc_abs_full,0.5402130714485374,2020-10-01,npm (causal-imputed)
2020Q3,plc_rel_full,-0.11831093405161042,2020-10-01,npm (causal-imputed)
2020Q3,msft_reported,1.0,2020-10-27,MSFT 8-K 0001193125-20-278410
2020Q3,amzn_reported,1.0,2020-10-29,AMZN 8-K 0001018724-20-000028
2020Q3,googl_reported,1.0,2020-10-29,GOOGL 8-K 0001652044-20-000046
2020Q4,rev_musd_lag4,113.644,2020-02-13,"SEC, 2019Q4 print"
2020Q4,rev_yoy_lag2,0.6823916752781716,2020-08-06,"SEC 8-K/10-Q, 2020Q2 print"
2020Q4,ctrl_abs_d30,0.637640413351118,2020-10-31,npm (causal-imputed)
2020Q4,dd_abs_d30,1.4813670121418898,2020-10-31,npm (causal-imputed)
2020Q4,dd_rel_d30,0.8437265987907718,2020-10-31,npm (causal-imputed)
2020Q4,dd_rel_wide_d30,0.431466690286884,2020-10-31,npm (causal-imputed)
2020Q4,plc_abs_d30,0.623181427954087,2020-10-31,npm (causal-imputed)
2020Q4,plc_rel_d30,-0.014458985397030943,2020-10-31,npm (causal-imputed)
2020Q4,guide_high_musd,164.0,2020-11-10,8-K EX-99.1 0001564590-20-052986 (UNVERIFIED)
2020Q4,guide_low_musd,162.0,2020-11-10,8-K EX-99.1 0001564590-20-052986 (UNVERIFIED)
2020Q4,guide_mid_musd,163.0,2020-11-10,8-K EX-99.1 0001564590-20-052986 (UNVERIFIED)
2020Q4,rev_yoy_lag1,0.6134836852207293,2020-11-10,"SEC 8-K/10-Q, 2020Q3 print"
2020Q4,ctrl_abs_d45,0.5800527118717032,2020-11-15,npm (causal-imputed)
2020Q4,dd_abs_d45,1.4035606266350307,2020-11-15,npm (causal-imputed)
2020Q4,dd_rel_d45,0.8235079147633275,2020-11-15,npm (causal-imputed)
2020Q4,dd_rel_wide_d45,0.4139085443249275,2020-11-15,npm (causal-imputed)
2020Q4,plc_abs_d45,0.604304142186816,2020-11-15,npm (causal-imputed)
2020Q4,plc_rel_d45,0.0242514303151129,2020-11-15,npm (causal-imputed)
2020Q4,ctrl_abs_d60,0.5393723447556944,2020-11-30,npm (causal-imputed)
2020Q4,dd_abs_d60,1.3563368664604631,2020-11-30,npm (causal-imputed)
2020Q4,dd_rel_d60,0.8169645217047687,2020-11-30,npm (causal-imputed)
